Recorte;Código IBGE;Município;Unidade de Gerenciamento de Recursos Hídricos (UGRHI) ;Região Administrativa;Região de Governo;Região Metropolitana;Aglomerações Urbanas
EMPLASA e DAEE;3537107;Pedreira;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Campinas;Região Metropolitana de Campinas;-
EMPLASA e DAEE;3538204;Pinhalzinho;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Bragança Paulista;-;-
EMPLASA e DAEE;3538600;Piracaia;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Bragança Paulista;-;-
EMPLASA e DAEE;3538709;Piracicaba;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Piracicaba;-;Aglomeração Urbana de Piracicaba
EMPLASA e DAEE;3542107;Rafard;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Piracicaba;-;Aglomeração Urbana de Piracicaba
EMPLASA e DAEE;3543907;Rio Claro;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Rio Claro;-;Aglomeração Urbana de Piracicaba
EMPLASA e DAEE;3544004;Rio das Pedras;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Piracicaba;-;Aglomeração Urbana de Piracicaba
EMPLASA e DAEE;3545159;Saltinho;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Piracicaba;-;Aglomeração Urbana de Piracicaba
EMPLASA e DAEE;3545209;Salto;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3545803;Santa Bárbara d'Oeste;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Campinas;Região Metropolitana de Campinas;-
EMPLASA e DAEE;3546702;Santa Gertrudes;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Rio Claro;-;Aglomeração Urbana de Piracicaba
EMPLASA e DAEE;3547007;Santa Maria da Serra;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Piracicaba;-;Aglomeração Urbana de Piracicaba
EMPLASA e DAEE;3548005;Santo Antônio de Posse;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Campinas;Região Metropolitana de Campinas;-
EMPLASA e DAEE;3550407;São Pedro;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Piracicaba;-;Aglomeração Urbana de Piracicaba
EMPLASA e DAEE;3552403;Sumaré;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Campinas;Região Metropolitana de Campinas;-
EMPLASA e DAEE;3554953;Tuiuti;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Bragança Paulista;-;-
EMPLASA e DAEE;3556206;Valinhos;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Campinas;Região Metropolitana de Campinas;-
EMPLASA e DAEE;3556354;Vargem;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Bragança Paulista;-;-
EMPLASA e DAEE;3556503;Várzea Paulista;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Jundiaí;-;Aglomeração Urbana de Jundiaí
EMPLASA e DAEE;3556701;Vinhedo;05 - Piracicaba/Capivari/Jundiaí;Região Administrativa de Campinas;Região de Governo de Campinas;Região Metropolitana de Campinas;-
EMPLASA e DAEE;3509601;Campo Limpo Paulista;"05 - Piracicaba/Capivari/Jundiaí
";Região Administrativa de Campinas;Região de Governo de Jundiaí;-;Aglomeração Urbana de Jundiaí
EMPLASA e DAEE;3509502;Campinas;05 - Piracicaba/Capivari/Jundiaí ;Região Administrativa de Campinas;Região de Governo de Campinas;Região Metropolitana de Campinas;-
EMPLASA e DAEE;3503901;Arujá;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3505708;Barueri;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3506607;Biritiba-Mirim;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3509007;Caieiras;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3509205;Cajamar;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3510609;Carapicuíba;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3513009;Cotia;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3513801;Diadema;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3515004;Embu das Artes;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3515103;Embu-Guaçu;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3515707;Ferraz de Vasconcelos;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3516309;Francisco Morato;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3516408;Franco da Rocha;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3518800;Guarulhos;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3522208;Itapecerica da Serra;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3522505;Itapevi;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3523107;Itaquaquecetuba;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3525003;Jandira;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3528502;Mairiporã;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3529401;Mauá;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3530607;Mogi das Cruzes;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3534401;Osasco;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3539103;Pirapora do Bom Jesus;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3539806;Poá;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3543303;Ribeirão Pires;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3544103;Rio Grande da Serra;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3545001;Salesópolis;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3547304;Santana de Parnaíba;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3547809;Santo André;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3548708;São Bernardo do Campo;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3548807;São Caetano do Sul;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3550308;São Paulo;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3552502;Suzano;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3552809;Taboão da Serra;06 - Alto Tietê;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3506359;Bertioga;07 - Baixada Santista;Região Administrativa de Santos;Região de Governo de Santos;Região Metropolitana da Baixada Santista;-
EMPLASA e DAEE;3513504;Cubatão;07 - Baixada Santista;Região Administrativa de Santos;Região de Governo de Santos;Região Metropolitana da Baixada Santista;-
EMPLASA e DAEE;3518701;Guarujá;07 - Baixada Santista;Região Administrativa de Santos;Região de Governo de Santos;Região Metropolitana da Baixada Santista;-
EMPLASA e DAEE;3522109;Itanhaém;07 - Baixada Santista;Região Administrativa de Santos;Região de Governo de Santos;Região Metropolitana da Baixada Santista;-
EMPLASA e DAEE;3531100;Mongaguá;07 - Baixada Santista;Região Administrativa de Santos;Região de Governo de Santos;Região Metropolitana da Baixada Santista;-
EMPLASA e DAEE;3537602;Peruíbe;07 - Baixada Santista;Região Administrativa de Santos;Região de Governo de Santos;Região Metropolitana da Baixada Santista;-
EMPLASA e DAEE;3541000;Praia Grande;07 - Baixada Santista;Região Administrativa de Santos;Região de Governo de Santos;Região Metropolitana da Baixada Santista;-
EMPLASA e DAEE;3548500;Santos;07 - Baixada Santista;Região Administrativa de Santos;Região de Governo de Santos;Região Metropolitana da Baixada Santista;-
EMPLASA e DAEE;3551009;São Vicente;07 - Baixada Santista;Região Administrativa de Santos;Região de Governo de Santos;Região Metropolitana da Baixada Santista;-
EMPLASA e DAEE;3503307;Araras;09 - Mogi-Guaçu;Região Administrativa de Campinas;Região de Governo de Limeira;-;Aglomeração Urbana de Piracicaba
EMPLASA e DAEE;3512209;Conchal;09 - Mogi-Guaçu;Região Administrativa de Campinas;Região de Governo de Limeira;-;Aglomeração Urbana de Piracicaba
EMPLASA e DAEE;3515152;Engenheiro Coelho;09 - Mogi-Guaçu;Região Administrativa de Campinas;Região de Governo de Campinas;Região Metropolitana de Campinas;-
EMPLASA e DAEE;3526704;Leme;09 - Mogi-Guaçu;Região Administrativa de Campinas;Região de Governo de Limeira;-;Aglomeração Urbana de Piracicaba
EMPLASA e DAEE;3500758;Alambari;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Itapetininga;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3501152;Alumínio;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3502754;Araçariguama;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3502903;Araçoiaba da Serra;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3507001;Boituva;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Itapetininga;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3508405;Cabreúva;10 - Tietê/Sorocaba;Região Administrativa de Campinas;Região de Governo de Jundiaí;-;Aglomeração Urbana de Jundiaí
EMPLASA e DAEE;3510302;Capela do Alto;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Itapetininga;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3511508;Cerquilho;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Itapetininga;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3511607;Cesário Lange;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Itapetininga;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3519709;Ibiúna;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3521002;Iperó;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3523909;Itu;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3525854;Jumirim;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3526407;Laranjal Paulista;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Botucatu;-;Aglomeração Urbana de Piracicaba
EMPLASA e DAEE;3528403;Mairinque;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3537800;Piedade;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3540606;Porto Feliz;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3545308;Salto de Pirapora;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3550605;São Roque;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3551108;Sarapuí;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Itapetininga;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3552205;Sorocaba;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3554003;Tatuí;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Itapetininga;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3554508;Tietê;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3556453;Vargem Grande Paulista;10 - Tietê/Sorocaba;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3557006;Votorantim;10 - Tietê/Sorocaba;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA e DAEE;3526209;Juquitiba;11 - Ribeira de Iguape/Litoral Sul;-;-;Região Metropolitana de São Paulo;-
EMPLASA e DAEE;3549953;São Lourenço da Serra;11 - Ribeira de Iguape/Litoral Sul;-;-;Região Metropolitana de São Paulo;-
EMPLASA;3553500;Tapiraí;11 - Ribeira de Iguape/Litoral Sul;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA;3522307;Itapetininga;14 - Alto Paranapanema;Região Administrativa de Sorocaba;Região de Governo de Itapetininga;Região Metropolitana de Sorocaba;-
EMPLASA;3537909;Pilar do Sul;14 - Alto Paranapanema;Região Administrativa de Sorocaba;Região de Governo de Sorocaba;Região Metropolitana de Sorocaba;-
EMPLASA;3550209;São Miguel Arcanjo;14 - Alto Paranapanema;Região Administrativa de Sorocaba;Região de Governo de Itapetininga;Região Metropolitana de Sorocaba;-
